Section|Title|Content
[Section 2-321| C.I.F. or C. & F.: "Net Landed Weights"; "Payment on Arrival"; Warranty of Condition on Arrival|Under acontractcontaining a term C.I.F. or C. & F.(1)Where the price is based on or is to be adjusted according to "net landed weights","delivered weights","out turn" quantity or quality or the like, unless otherwise agreed the seller must reasonably estimate the price. The payment due on tender of the documents called for by the contract is the amount so estimated, but after final adjustment of the price a settlement must be made with commercial promptness.(2) An agreement described in subsection (1) or any warranty of quality or condition of thegoodson arrival places upon thesellerthe risk of ordinary deterioration, shrinkage and the like in transportation but has no effect on the place or time of identification to the contract forsaleor delivery or on the passing of the risk of loss.(3)Unless otherwise agreed where the contract provides for payment on or after arrival of the goods the seller must before payment allow such preliminary inspection as is feasible; but if the goods are lost delivery of the documents and payment are due when the goods should have arrived.Section 2-320. C.I.F. and C. &amp; F. Terms.UpSection 2-322. Delivery "Ex-Ship".]
[Section 2-322| Delivery "Ex-Ship"|(1) Unless otherwise agreed a term for delivery ofgoods"ex-ship" (which means from the carrying vessel) or in equivalent language is not restricted to a particular ship and requires delivery from a ship which has reached a place at the named port of destination where goods of the kind are usually discharged.(2)Under such a term unless otherwise agreed(a) thesellermust discharge all liens arising out of the carriage and furnish thebuyerwith a direction which puts the carrier under a duty to deliver thegoods; and(b) the risk of loss does not pass to thebuyeruntil thegoodsleave the ship\'s tackle or are otherwise properly unloaded.Section 2-321. C.I.F. or C. &amp; F.: "Net Landed Weights"; "Payment on Arrival"; Warranty of Condition on Arrival.UpSection 2-323. Form of Bill of Lading Required in Overseas Shipment; "Overseas".]
[Section 2-323| Form of Bill of Lading Required in Overseas Shipment; "Overseas"|(1) Where thecontractcontemplatesoverseasshipment and contains a term C.I.F. or C. & F. or F.O.B. vessel, thesellerunless otherwise agreed must obtain a negotiable bill of lading stating that thegoodshave been loaded in board or, in the case of a term C.I.F. or C. & F received for shipment.(2) Where in a case within subsection (1) a bill of lading has been issued in a set of parts, unless otherwise agreed if the documents are not to be sent from abroad thebuyermay demand tender of the full set; otherwise only one part of the bill of lading need be tendered. Even if theagreementexpressly requires a full set(a) due tender of a single part is acceptable within the provisions of this Article on cure of improper delivery (subsection (1) of Section2-508); and(b) even though the full set is demanded, if the documents are sent from abroad the person tendering an incomplete set may nevertheless require payment upon furnishing an indemnity which thebuyeringood faithdeems adequate.(3) A shipment by water or by air or acontractcontemplating such shipment is"overseas" insofar as by usage of trade oragreementit is subject to the commercial, financing or shipping practices characteristic of international deep water commerce.Section 2-322. Delivery "Ex-Ship".UpSection 2-324. "No Arrival, No sale" Term.]
[Section 2-324| "No Arrival, No sale" Term|Under a term, "no sale no arrival" or terms of like meaning, unless otherwise agreed,(a) thesellermust properly shipconforminggoodsand if they arrive by any means he must tender them on arrival but he assumes no obligation that thegoodswill arrive unless he has caused the non-arrival; and(b) where without fault of thesellerthegoodsare in part lost or have so deteriorated as no longer to conform to thecontractor arrive after thecontracttime, thebuyermay proceed as if there had been casualty to identified goods (Section2-613).Section 2-323. Form of Bill of Lading Required in Overseas Shipment; "Overseas".UpSection 2-325. "Letter of Credit" Term; "Confirmed Credit".]
[Section 2-325| "Letter of Credit" Term; "Confirmed Credit"|(1) Failure of thebuyerseasonably to furnish an agreed letter of credit is a breach of thecontract for sale.(2) The delivery tosellerof a proper letter of credit suspends thebuyer\'sobligation to pay. If the letter of credit is dishonored, the seller may on seasonable notification to the buyer require payment directly from him.(3) Unless otherwise agreed the term "letter of credit" or "banker\'s credit" in acontract for salemeans an irrevocable credit issued by afinancing agencyof good repute and, where the shipment isoverseas, of good international repute. The term "confirmed credit" means that the credit must also carry the direct obligation of such an agency which does business in theseller\'sfinancial market.Section 2-324. "No Arrival, No sale" Term.UpSection 2-326. Sale on Approval and Sale or Return; Consignment Sales and Rights of Creditors.]
[Section 2-326| Sale on Approval and Sale or Return; Consignment Sales and Rights of Creditors|(1) Unless otherwise agreed, if deliveredgoodsmay be returned by thebuyereven though they conform to thecontract, the transaction is(a) a "sale on approval" if thegoodsare delivered primarily for use, and(b) a "sale or return" if thegoodsare delivered primarily for resale.(2) Except as provided in subsection (3),goodsheld on approval are not subject to the claims of thebuyer\'screditors until acceptance; goods held onsaleor return are subject to such claims while in the buyer\'s possession.(3) Wheregoodsare delivered to a person forsaleand such person maintains a place of business at which he deals in goods of the kind involved, under a name other than the name of the person making delivery, then with respect to claims of creditors of the person conducting the business the goods are deemed to be on sale or return. The provisions of this subsection are applicable even though anagreementpurports to reserve title to the person making delivery until payment or resale or uses such words as "on consignment" or "on memorandum". However, this subsection is not applicable if the person making delivery(a) complies with an applicable law providing for a consignor\'s interest or the like to be evidenced by a sign, or(b) establishes that the person conducting the business is generally known by his creditors to be substantially engaged in selling thegoodsof others, or(c) complies with the filing provisions of the Article on Secured Transactions (Article 9).(4) Any "or return" term of acontract for saleis to be treated as a separate contract for sale within the statute of frauds section of this Article (Section2-201) and as contradicting thesaleaspect of thecontractwithin the provisions of this Article on parol or extrinsic evidence (Section2-202).Section 2-325. "Letter of Credit" Term; "Confirmed Credit".UpSection 2-327. Special Incidents of Sale on Approval and Sale or Return.]
[Section 2-327| Special Incidents of Sale on Approval and Sale or Return|(1) Under asaleon approval unless otherwise agreed(a) although thegoodsare identified to thecontractthe risk of loss and the title do not pass to thebuyeruntil acceptance; and(b) use of thegoodsconsistent with the purpose of trial is not acceptance but failure seasonably to notify thesellerof election to return the goods is acceptance, and if the goods conform to thecontractacceptance of any part is acceptance of the whole; and(c) after due notification of election to return, the return is at theseller'srisk and expense but amerchantbuyermust follow any reasonable instructions.(2) Under asaleor return unless otherwise agreed(a) the option to return extends to the whole or anycommercial unitof thegoodswhile in substantially their original condition, but must be exercised seasonably; and(b) the return is at thebuyer'srisk and expense.Section 2-326. Sale on Approval and Sale or Return; Consignment Sales and Rights of Creditors.UpSection 2-328. Sale by Auction.]
[Section 2-328| Sale by Auction|(1) In asaleby auction ifgoodsare put up inlotseach lot is the subject of a separate sale.(2) Asaleby auction is complete when the auctioneer so announces by the fall of the hammer or in other customary manner. Where a bid is made while the hammer is falling in acceptance of a prior bid the auctioneer may in his discretion reopen the bidding or declare thegoodssold under the bid on which the hammer was falling.(3) Such asaleis with reserve unless thegoodsare in explicit terms put up without reserve. In an auction with reserve the auctioneer may withdraw the goods at any time until he announces completion of the sale. In an auction without reserve, after the auctioneer calls for bids on an article orlot, that article or lot cannot be withdrawn unless no bid is made within a reasonable time. In either case a bidder may retract his bid until the auctioneer's announcement of completion of the sale, but a bidder's retraction does not revive any previous bid.(4) If the auctioneer knowingly receives a bid on theseller'sbehalf or the seller makes or procures such a bid, and notice has not been given that liberty for such bidding is reserved, thebuyermay at his option avoid thesaleor take thegoodsat the price of the lastgood faithbid prior to the completion of the sale. This subsection shall not apply to any bid at a forced sale.Section 2-327. Special Incidents of Sale on Approval and Sale or Return.UpSection 2-301. General Obligations of Parties.]
[Section 2-401| Passing of Title; Reservation for Security; Limited Application of This Section|Each provision of this Article with regard to the rights, obligations and remedies of theseller, thebuyer, purchasers or other third parties applies irrespective of title to thegoodsexcept where the provision refers to such title. Insofar as situations are not covered by the other provisions of this Article and matters concerning title become material the following rules apply:(1) Title togoodscannot pass under acontract for saleprior to their identification to thecontract(Section2-501), and unless otherwise explicitly agreed thebuyeracquires by their identification a special property as limited by this Act. Any retention or reservation by thesellerof the title (property) in goods shipped or delivered to the buyer is limited in effect to a reservation of a security interest. Subject to these provisions and to the provisions of the Article on Secured Transactions (Article 9), title to goods passes from the seller to the buyer in any manner and on any conditions explicitly agreed on by the parties.(2) Unless otherwise explicitly agreed title passes to thebuyerat the time and place at which thesellercompletes his performance with reference to the physical delivery of thegoods, despite any reservation of a security interest and even though a document of title is to be delivered at a different time or place; and in particular and despite any reservation of a security interest by the bill of lading(a) if thecontractrequires or authorizes thesellerto send thegoodsto thebuyerbut does not require him to deliver them at destination, title passes to the buyer at the time and place of shipment; but(b) if thecontractrequires delivery at destination, title passes on tender there.(3) Unless otherwise explicitly agreed where delivery is to be made without moving thegoods,(a) if theselleris to deliver a document of title, title passes at the time when and the place where he delivers such documents; or(b) if thegoodsare at the time of contracting already identified and no documents are to be delivered, title passes at the time and place of contracting.(4) A rejection or other refusal by thebuyerto receive or retain thegoods, whether or not justified, or a justified revocation of acceptance revests title to the goods in theseller. Such revesting occurs by operation of law and is not a "sale".PART 4. TITLE, CREDITORS AND GOOD FAITH PURCHASERSUpSection 2-402. Rights of Seller\'s Creditors Against Sold Goods.]
[Section 2-402| Rights of Seller's Creditors Against Sold Goods.|(1) Except as provided in subsections (2) and (3), rights of unsecured creditors of thesellerwith respect togoodswhich have been identified to acontract for saleare subject to thebuyer\'srights to recover the goods under this Article (Sections2-502and2-716).(2) A creditor of thesellermay treat asaleor an identification ofgoodsto acontract for saleas void if as against him a retention of possession by the seller is fraudulent under any rule of law of the state where thegoodsare situated, except that retention of possession ingood faithand current course of trade by amerchant-seller for a commercially reasonable time after a sale or identification is not fraudulent.(3) Nothing in this Article shall be deemed to impair the rights of creditors of theseller(a) under the provisions of the Article on Secured Transactions (Article 9); or(b) where identification to thecontractor delivery is made not in current course of trade but in satisfaction of or as security for a pre-existing claim for money, security or the like and is made under circumstances which under any rule of law of the state where thegoodsare situated would apart from this Article constitute the transaction a fraudulent transfer or voidable preference.Section 2-401. Passing of Title; Reservation for Security; Limited Application of This Section.UpSection 2-403. Power to Transfer; Good Faith Purchase of Goods; "Entrusting".]
[Section 2-403| Power to Transfer; Good Faith Purchase of Goods; "Entrusting"|(1) A purchaser ofgoodsacquires all title which his transferor had or had power to transfer except that a purchaser of a limited interest acquires rights only to the extent of the interest purchased. A person with voidable title has power to transfer a good title to agood faithpurchaser for value. When goods have been delivered under a transaction of purchase the purchaser has such power even though(a) the transferor was deceived as to the identity of the purchaser, or(b) the delivery was in exchange for a check which is later dishonored, or(c) it was agreed that the transaction was to be a "cash sale", or(d) the delivery was procured through fraud punishable as larcenous under the criminal law.(2) Any entrusting of possession ofgoodsto amerchantwho deals ingoodsof that kind gives him power to transfer all rights of the entruster to abuyerin ordinary course of business.(3) "Entrusting" includes any delivery and any acquiescence in retention of possession regardless of any condition expressed between the parties to the delivery or acquiescence and regardless of whether the procurement of the entrusting or the possessor\'s disposition of thegoodshave been such as to be larcenous under the criminal law.[Note: If a state adopts the repealer of Article 6-Bulk Transfers (Alternative A), subsec. (4) should read as follows:](4) The rights of other purchasers ofgoodsand of lien creditors are governed by the Articles on Secured Transactions (Article 9) and Documents of Title (Article 7).[Note: If a state adopts Revised Article 6-Bulk Sales (Alternative B), subsec. (4) should read as follows:](4) The rights of other purchasers ofgoodsand of lien creditors are governed by the Articles on Secured Transactions (Article 9), Bulk Sales (Article 6) and Documents of Title (Article 7).[Note:As amended in 1988.]Section 2-402. Rights of Seller\'s Creditors Against Sold Goods.UpPART 5. PERFORMANCE]
[Section 2-501| Insurable Interest in Goods; Manner of Identification of Goods|(1) Thebuyerobtains a special property and an insurable interest ingoodsby identification of existing goods as goods to which thecontractrefers even though the goods so identified are non-conforming and he has an option to return or reject them. Such identification can be made at any time and in any manner explicitly agreed to by the parties. In the absence of explicitagreementidentification occurs(a) when thecontractis made if it is for thesaleofgoodsalready existing and identified;(b) if thecontractis for thesaleof futuregoodsother than those described in paragraph (c), when goods are shipped, marked or otherwise designated by theselleras goods to which thecontractrefers;(c) when the crops are planted or otherwise become growing crops or the young are conceived if thecontractis for thesaleof unborn young to be born within twelve months after contracting or for the sale of crops to be harvested within twelve months or the next normal harvest reason after contracting whichever is longer.(2) Thesellerretains an insurable interest ingoodsso long as title to or any security interest in the goods remains in him and where the identification is by the seller alone he may until default or insolvency or notification to thebuyerthat the identification is final substitute other goods for those identified.(3)Nothing in this section impairs any insurable interest recognized under any other statute or rule of law.PART 5. PERFORMANCEUpSection 2-502. Buyer's Right to Goods on Seller's Insolvency.]
[Section 2-502| Buyer's Right to Goods on Seller's Insolvency.|(1) Subject to subsection (2) and even though thegoodshave not been shipped abuyerwho has paid a part or all of the price of goods in which he has a special property under the provisions of the immediately preceding section may on making and keeping good a tender of any unpaid portion of their price recover them from thesellerif the seller becomes insolvent within ten days afterreceiptof the first installment on their price.(2) If the identification creating his special property has been made by thebuyerhe acquires the right to recover thegoodsonly if they conform to thecontract for sale.Section 2-501. Insurable Interest in Goods; Manner of Identification of Goods.UpSection 2-503. Manner of Seller's Tender of Delivery.]
[Section 2-503| Manner of Seller's Tender of Delivery.|(1) Tender of delivery requires that thesellerput and holdconforminggoodsat thebuyer'sdisposition and give the buyer any notification reasonably necessary to enable him to take delivery. The manner, time and place for tender are determined by theagreementand this Article, and in particular(a) tender must be at a reasonable hour, and if it is ofgoodsthey must be kept available for the period reasonably necessary to enable thebuyerto take possession; but(b) unless otherwise agreed thebuyermust furnish facilities reasonably suited to thereceiptof thegoods.(2) Where the case is within the next section respecting shipment tender requires that thesellercomply with its provisions.(3) Where theselleris required to deliver at a particular destination tender requires that he comply with subsection (1) and also in any appropriate case tender documents as described in subsections (4) and (5) of this section.(4) Wheregoodsare in the possession of a bailee and are to be delivered without being moved(a) tender requires that thesellereither tender a negotiable document of title covering suchgoodsor procure acknowledgment by the bailee of thebuyer'sright to possession of the goods; but(b) tender to thebuyerof a non-negotiable document of title or of a written direction to the bailee to deliver is sufficient tender unless the buyer seasonably objects, andreceiptby the bailee of notification of the buyer's rights fixes those rights as against the bailee and all third persons; but risk of loss of thegoodsand of any failure by the bailee to honor the non-negotiable document of title or to obey the direction remains on theselleruntil the buyer has had a reasonable time to present the document or direction, and a refusal by the bailee to honor the document or to obey the direction defeats the tender.(5) Where thecontractrequires thesellerto deliver documents(a) he must tender all such documents in correct form, except as provided in this Article with respect to bills of lading in a set (subsection (2) of Section2-323); and(b) tender through customary banking channels is sufficient and dishonor of a draft accompanying the documents constitutes non-acceptance or rejection.Section 2-502. Buyer's Right to Goods on Seller's Insolvency.UpSection 2-504. Shipment by Seller.]
[Section 2-504| Shipment by Seller|Where theselleris required or authorized to send thegoodsto thebuyerand thecontractdoes not require him to deliver them at a particular destination, then unless otherwise agreed he must(a) put thegoodsin the possession of such a carrier and make such acontractfor their transportation as may be reasonable having regard to the nature of the goods and other circumstances of the case; and(b) obtain and promptly deliver or tender in due form any document necessary to enable thebuyerto obtain possession of thegoodsor otherwise required by theagreementor by usage of trade; and(c) promptly notify thebuyerof the shipment.Failure to notify thebuyerunder paragraph (c) or to make a propercontractunder paragraph (a) is a ground for rejection only if material delay or loss ensues.Section 2-503. Manner of Seller's Tender of Delivery.UpSection 2-505. Seller's Shipment Under Reservation.]
[Section 2-505| Seller's Shipment Under Reservation.|(1) Where thesellerhas identifiedgoodsto thecontractby or before shipment:(a) his procurement of a negotiable bill of lading to his own order or otherwise reserves in him a security interest in thegoods. His procurement of the bill to the order of afinancing agencyor of thebuyerindicates in addition only theseller'sexpectation of transferring that interest to the person named.(b) a non-negotiable bill of lading to himself or his nominee reserves possession of thegoodsas security but except in a case of conditional delivery (subsection (2) of Section2-507) a non-negotiable bill of lading naming thebuyeras consignee reserves no security interest even though thesellerretains possession of the bill of lading.(2) When shipment by thesellerwith reservation of a security interest is in violation of thecontract for saleit constitutes an impropercontractfor transportation within the preceding section but impairs neither the rights given to thebuyerby shipment and identification of thegoodsto the contract nor the seller's powers as a holder of a negotiable document.Section 2-504. Shipment by Seller.UpSection 2-506. Rights of Financing agency.]
[Section 2-506| Rights of Financing agency|(1) Afinancing agencyby paying or purchasing for value a draft which relates to a shipment ofgoodsacquires to the extent of the payment or purchase and in addition to its own rights under the draft and any document of title securing it any rights of the shipper in the goods including the right to stop delivery and the shipper's right to have the draft honored by thebuyer.(2) The right to reimbursement of afinancing agencywhich has ingood faithhonored or purchased the draft under commitment to or authority from thebuyeris not impaired by subsequent discovery of defects with reference to any relevant document which was apparently regular on its face.Section 2-505. Seller's Shipment Under Reservation.UpSection 2-507. Effect of Seller's Tender; Delivery on Condition.]
[Section 2-507| Effect of Seller's Tender; Delivery on Condition.|(1) Tender of delivery is a condition to thebuyer'sduty to accept thegoodsand, unless otherwise agreed, to his duty to pay for them. Tender entitles thesellerto acceptance of the goods and to payment according to thecontract.(2) Where payment is due and demanded on the delivery to thebuyerofgoodsor documents of title, his right as against thesellerto retain or dispose of them is conditional upon his making the payment due.Section 2-506. Rights of Financing agency.UpSection 2-508. Cure by Seller of Improper Tender or Delivery; Replacement.]
[Section 2-508| Cure by Seller of Improper Tender or Delivery; Replacement|(1) Where any tender or delivery by theselleris rejected because non-conforming and the time for performance has not yet expired, the seller may seasonably notify thebuyerof his intention to cure and may then within thecontracttime make aconformingdelivery.(2) Where thebuyerrejects a non-conforming tender which thesellerhad reasonable grounds to believe would be acceptable with or without money allowance the seller may if he seasonably notifies the buyer have a further reasonable time to substitute aconformingtender.Section 2-507. Effect of Seller's Tender; Delivery on Condition.UpSection 2-509. Risk of Loss in the Absence of Breach.]
[Section 2-509| Risk of Loss in the Absence of Breach|(1) Where thecontractrequires or authorizes thesellerto ship thegoodsby carrier(a) if it does not require him to deliver them at a particular destination, the risk of loss passes to thebuyerwhen thegoodsare duly delivered to the carrier even though the shipment is under reservation (Section2-505); but(b) if it does require him to deliver them at a particular destination and thegoodsare there duly tendered while in the possession of the carrier, the risk of loss passes to thebuyerwhen the goods are there duly so tendered as to enable the buyer to take delivery.(2) Where thegoodsare held by a bailee to be delivered without being moved, the risk of loss passes to thebuyer(a) on hisreceiptof a negotiable document of title covering thegoods; or(b) on acknowledgment by the bailee of thebuyer'sright to possession of thegoods; or(c) after hisreceiptof a non-negotiable document of title or other written direction to deliver, as provided in subsection (4)(b) of Section2-503.(3) In any case not within subsection (1) or (2), the risk of loss passes to thebuyeron hisreceiptof thegoodsif theselleris amerchant; otherwise the risk passes to the buyer on tender of delivery.(4) The provisions of this section are subject to contraryagreementof the parties and to the provisions of this Article onsaleon approval (Section2-327) and on effect of breach on risk of loss (Section2-510).Section 2-508. Cure by Seller of Improper Tender or Delivery; Replacement.UpSection 2-510. Effect of Breach on Risk of Loss.]
[Section 2-510| Effect of Breach on Risk of Loss|(1) Where a tender or delivery ofgoodsso fails to conform to thecontractas to give a right of rejection the risk of their loss remains on theselleruntil cure or acceptance.(2) Where thebuyerrightfully revokes acceptance he may to the extent of any deficiency in his effective insurance coverage treat the risk of loss as having rested on thesellerfrom the beginning.(3) Where thebuyeras toconforminggoodsalready identified to thecontract for salerepudiates or is otherwise in breach before risk of their loss has passed to him, thesellermay to the extent of any deficiency in his effective insurance coverage treat the risk of loss as resting on the buyer for a commercially reasonable time.Section 2-509. Risk of Loss in the Absence of Breach.UpSection 2-511. Tender of Payment by Buyer; Payment by Check.]
[Section 2-511| Tender of Payment by Buyer; Payment by Check|(1) Unless otherwise agreed tender of payment is a condition to theseller'sduty to tender and complete any delivery.(2) Tender of payment is sufficient when made by any means or in any manner current in the ordinary course of business unless thesellerdemands payment in legal tender and gives any extension of time reasonably necessary to procure it.(3) Subject to the provisions of this Act on the effect of an instrument on an obligation (Section3-802), payment by check is conditional and is defeated as between the parties by dishonor of the check on due presentment.Section 2-510. Effect of Breach on Risk of Loss.UpSection 2-512. Payment by Buyer Before Inspection.]
[Section 2-512| Payment by Buyer Before Inspection|(1) Where thecontractrequires payment before inspection non-conformity of thegoodsdoes not excuse thebuyerfrom so making payment unless(a) the non-conformity appears without inspection; or(b) despite tender of the required documents the circumstances would justify injunction against honor under the provisions of this Act (Section5-114).(2) Payment pursuant to subsection (1) does not constitute an acceptance ofgoodsor impair thebuyer'sright to inspect or any of his remedies.Section 2-511. Tender of Payment by Buyer; Payment by Check.UpSection 2-513. Buyer's Right to Inspection of Goods.]
[Section 2-513| Buyer's Right to Inspection of Goods.|(1) Unless otherwise agreed and subject to subsection (3), wheregoodsare tendered or delivered or identified to thecontract for sale, thebuyerhas a right before payment or acceptance to inspect them at any reasonable place and time and in any reasonable manner. When theselleris required or authorized to send the goods to the buyer, the inspection may be after their arrival.(2) Expenses of inspection must be borne by thebuyerbut may be recovered from thesellerif thegoodsdo not conform and are rejected.(3) Unless otherwise agreed and subject to the provisions of this Article on C.I.F.contracts(subsection (3) of Section2-321), thebuyeris not entitled to inspect thegoodsbefore payment of the price when the contract provides(a) for delivery "C.O.D." or on other like terms; or(b) for payment against documents of title, except where such payment is due only after thegoodsare to become available for inspection.(4) A place or method of inspection fixed by the parties is presumed to be exclusive but unless otherwise expressly agreed it does not postpone identification or shift the place for delivery or for passing the risk of loss. If compliance becomes impossible, inspection shall be as provided in this section unless the place or method fixed was clearly intended as an indispensable condition failure of which avoids thecontract.Section 2-512. Payment by Buyer Before Inspection.UpSection 2-514. When Documents Deliverable on Acceptance; When on Payment.]
[Section 2-514| When Documents Deliverable on Acceptance; When on Payment|Unless otherwise agreed documents against which a draft is drawn are to be delivered to the drawee on acceptance of the draft if it is payable more than three days after presentment; otherwise, only on payment.Section 2-513. Buyer's Right to Inspection of Goods.UpSection 2-515. Preserving Evidence of Goods in Dispute.]
[Section 2-515| Preserving Evidence of Goods in Dispute|In furtherance of the adjustment of any claim or dispute(a) either party on reasonable notification to the other and for the purpose of ascertaining the facts and preserving evidence has the right to inspect, test and sample thegoodsincluding such of them as may be in the possession or control of the other; and(b) the parties may agree to a third party inspection or survey to determine the conformity or condition of thegoodsand may agree that the findings shall be binding upon them in any subsequent litigation or adjustment.Section 2-514. When Documents Deliverable on Acceptance; When on Payment.UpPART 6. BREACH, REPUDIATION AND EXCUSE]
[Section 2-601| Buyer's Rights on Improper Delivery.|Subject to the provisions of this Article on breach in installment contracts (Section2-612) and unless otherwise agreed under the sections on contractual limitations of remedy (Sections2-718and2-719), if thegoodsor the tender of delivery fail in any respect to conform to thecontract, thebuyermay(a) reject the whole; or(b) accept the whole; or(c) accept anycommercial unitor units and reject the rest.PART 6. BREACH, REPUDIATION AND EXCUSEUpSection 2-602. Manner and Effect of Rightful Rejection.]
[Section 2-602| Manner and Effect of Rightful Rejection|(1) Rejection ofgoodsmust be within a reasonable time after their delivery or tender. It is ineffective unless thebuyerseasonably notifies theseller.(2) Subject to the provisions of the two following sections on rejectedgoods(Sections2-603and2-604),(a) after rejection any exercise of ownership by thebuyerwith respect to anycommercial unitis wrongful as against theseller; and(b) if thebuyerhas before rejection taken physical possession ofgoodsin which he does not have a security interest under the provisions of this Article (subsection (3) of Section2-711), he is under a duty after rejection to hold them with reasonable care at theseller'sdisposition for a time sufficient to permit the seller to remove them; but(c) thebuyerhas no further obligations with regard togoodsrightfully rejected.(3) Theseller'srights with respect togoodswrongfully rejected are governed by the provisions of this Article on seller's remedies in general (Section2-703).Section 2-601. Buyer's Rights on Improper Delivery.UpSection 2-603. Merchant Buyer's Duties as to Rightfully Rejected Goods.]
[Section 2-603| Merchant Buyer's Duties as to Rightfully Rejected Goods.|(1) Subject to any security interest in thebuyer(subsection (3) of Section2-711), when thesellerhas no agent or place of business at the market of rejection amerchantbuyeris under a duty after rejection ofgoodsin his possession or control to follow any reasonable instructions received from the seller with respect to the goods and in the absence of such instructions to make reasonable efforts to sell them for the seller's account if they are perishable or threaten to decline in value speedily. Instructions are not reasonable if on demand indemnity for expenses is not forthcoming.(2) When thebuyersellsgoodsunder subsection (1), he is entitled to reimbursement from theselleror out of the proceeds for reasonable expenses of caring for and selling them, and if the expenses include no selling commission then to such commission as is usual in the trade or if there is none to a reasonable sum not exceeding ten per cent on the gross proceeds.(3) In complying with this section thebuyeris held only togood faithand good faith conduct hereunder is neither acceptance nor conversion nor the basis of an action for damages.Section 2-602. Manner and Effect of Rightful Rejection.UpSection 2-604. Buyer's Options as to Salvage of Rightfully Rejected Goods.]
[Section 2-604| Buyer's Options as to Salvage of Rightfully Rejected Goods.|Subject to the provisions of the immediately preceding section on perishables if thesellergives no instructions within a reasonable time after notification of rejection thebuyermay store the rejectedgoodsfor the seller's account or reship them to him or resell them for the seller's account with reimbursement as provided in the preceding section. Such action is not acceptance or conversion.Section 2-603. Merchant Buyer's Duties as to Rightfully Rejected Goods.UpSection 2-605. Waiver of Buyer's Objections by Failure to Particularize.]
[Section 2-605| Waiver of Buyer's Objections by Failure to Particularize.|(1) Thebuyer'sfailure to state in connection with rejection a particular defect which is ascertainable by reasonable inspection precludes him from relying on the unstated defect to justify rejection or to establish breach(a) where thesellercould have cured it if stated seasonably; or(b)between merchantswhen thesellerhas after rejection made a request in writing for a full and final written statement of all defects on which thebuyerproposes to rely.(2)Payment against documents made without reservation of rights precludes recovery of the payment for defects apparent on the face of the documents.Section 2-604. Buyer's Options as to Salvage of Rightfully Rejected Goods.UpSection 2-606. What Constitutes Acceptance of Goods.]
[Section 2-606| What Constitutes Acceptance of Goods|(1) Acceptance ofgoodsoccurs when thebuyer(a) after a reasonable opportunity to inspect thegoodssignifies to thesellerthat the goods areconformingor that he will take or retain them in spite of their non-conformity; or(b) fails to make an effective rejection (subsection (1) of Section2-602), but such acceptance does not occur until thebuyerhas had a reasonable opportunity to inspect them; or(c) does any act inconsistent with theseller'sownership; but if such act is wrongful as against the seller it is an acceptance only if ratified by him.(2) Acceptance of a part of anycommercial unitis acceptance of that entire unit.Section 2-605. Waiver of Buyer's Objections by Failure to Particularize.UpSection 2-607. Effect of Acceptance; Notice of Breach; Burden of Establishing Breach After Acceptance; Notice of Claim or Litigation to Person Answerable Over.]
[Section 2-607| Effect of Acceptance; Notice of Breach; Burden of Establishing Breach After Acceptance; Notice of Claim or Litigation to Person Answerable Over|(1) Thebuyermust pay at thecontractrate for anygoodsaccepted.(2) Acceptance ofgoodsby thebuyerprecludes rejection of the goods accepted and if made with knowledge of a non-conformity cannot be revoked because of it unless the acceptance was on the reasonable assumption that the non-conformity would be seasonably cured but acceptance does not of itself impair any other remedy provided by this Article for non-conformity.(3)Where a tender has been accepted(a) thebuyermust within a reasonable time after he discovers or should have discovered any breach notify thesellerof breach or be barred from any remedy; and(b) if the claim is one for infringement or the like (subsection (3) of Section2-312) and thebuyeris sued as a result of such a breach he must so notify thesellerwithin a reasonable time after he receives notice of the litigation or be barred from any remedy over for liability established by the litigation.(4) The burden is on thebuyerto establish any breach with respect to thegoodsaccepted.(5) Where thebuyeris sued for breach of a warranty or other obligation for which hisselleris answerable over(a) he may give hissellerwritten notice of the litigation. If the notice states that the seller may come in and defend and that if the seller does not do so he will be bound in any action against him by hisbuyerby any determination of fact common to the two litigations, then unless the seller after seasonablereceiptof the notice does come in and defend he is so bound.(b) if the claim is one for infringement or the like (subsection (3) of Section2-312) the originalsellermay demand in writing that hisbuyerturn over to him control of the litigation including settlement or else be barred from any remedy over and if he also agrees to bear all expense and to satisfy any adverse judgment, then unless the buyer after seasonablereceiptof the demand does turn over control the buyer is so barred.(6) The provisions of subsections (3), (4) and (5) apply to any obligation of abuyerto hold thesellerharmless against infringement or the like (subsection (3) of Section2-312).Section 2-606. What Constitutes Acceptance of Goods.UpSection 2-608. Revocation of Acceptance in Whole or in Part.]
[Section 2-608| Revocation of Acceptance in Whole or in Part|(1) Thebuyermay revoke his acceptance of alotorcommercial unitwhose non-conformity substantially impairs its value to him if he has accepted it(a) on the reasonable assumption that its non-conformity would be cured and it has not been seasonably cured; or(b) without discovery of such non-conformity if his acceptance was reasonably induced either by the difficulty of discovery before acceptance or by theseller'sassurances.(2) Revocation of acceptance must occur within a reasonable time after thebuyerdiscovers or should have discovered the ground for it and before any substantial change in condition of thegoodswhich is not caused by their own defects. It is not effective until the buyer notifies thesellerof it.(3) Abuyerwho so revokes has the same rights and duties with regard to thegoodsinvolved as if he had rejected them.Section 2-607. Effect of Acceptance; Notice of Breach; Burden of Establishing Breach After Acceptance; Notice of Claim or Litigation to Person Answerable Over.UpSection 2-609. Right to Adequate Assurance of Performance.]
